time;gFx;gFy;gFz;TgF;Actividad;movil;sujeto
0,00063;-0,2489;0,9535;0,215;1,009;stairs;Samsung Galaxy S10;Isaías
0,002927;-0,2333;0,9535;0,2399;1,011;stairs;Samsung Galaxy S10;Isaías
0,010533;-0,216;0,9515;0,2673;1,012;stairs;Samsung Galaxy S10;Isaías
0,013537;-0,1969;0,9481;0,2968;1,013;stairs;Samsung Galaxy S10;Isaías
0,018123;-0,1825;0,943;0,333;1,017;stairs;Samsung Galaxy S10;Isaías
0,024785;-0,1678;0,9398;0,377;1,026;stairs;Samsung Galaxy S10;Isaías
0,028623;-0,1598;0,9361;0,4277;1,042;stairs;Samsung Galaxy S10;Isaías
0,033957;-0,151;0,9312;0,4703;1,054;stairs;Samsung Galaxy S10;Isaías
0,038419;-0,1483;0,9273;0,5062;1,067;stairs;Samsung Galaxy S10;Isaías
0,044487;-0,1493;0,9232;0,5421;1,081;stairs;Samsung Galaxy S10;Isaías
0,049146;-0,1512;0,9232;0,5741;1,098;stairs;Samsung Galaxy S10;Isaías
0,054813;-0,1532;0,9254;0,6005;1,114;stairs;Samsung Galaxy S10;Isaías
0,059297;-0,1561;0,9291;0,6156;1,125;stairs;Samsung Galaxy S10;Isaías
0,063886;-0,1605;0,9337;0,6195;1,132;stairs;Samsung Galaxy S10;Isaías
0,069074;-0,1637;0,9352;0,6122;1,13;stairs;Samsung Galaxy S10;Isaías
0,075257;-0,1673;0,9395;0,5927;1,123;stairs;Samsung Galaxy S10;Isaías
0,079902;-0,171;0,9383;0,5721;1,112;stairs;Samsung Galaxy S10;Isaías
0,084247;-0,1756;0,9383;0,5489;1,101;stairs;Samsung Galaxy S10;Isaías
0,090106;-0,1769;0,9405;0,5245;1,091;stairs;Samsung Galaxy S10;Isaías
0,095211;-0,1776;0,9422;0,4969;1,08;stairs;Samsung Galaxy S10;Isaías
0,099386;-0,1854;0,941;0,4764;1,071;stairs;Samsung Galaxy S10;Isaías
0,105144;-0,1918;0,9381;0,4659;1,065;stairs;Samsung Galaxy S10;Isaías
0,109671;-0,1976;0,9332;0,4549;1,057;stairs;Samsung Galaxy S10;Isaías
0,114736;-0,1993;0,9264;0,4444;1,047;stairs;Samsung Galaxy S10;Isaías
0,12038;-0,2011;0,9193;0,4366;1,037;stairs;Samsung Galaxy S10;Isaías
0,125791;-0,1991;0,9168;0,4314;1,033;stairs;Samsung Galaxy S10;Isaías
