time;gFx;gFy;gFz;TgF;Actividad;movil;sujeto
0,002298;-0,1041;0,205;0,9173;0,946;standing;Samsung Galaxy S10;Isaías
0,002641;-0,1038;0,1962;0,9337;0,96;standing;Samsung Galaxy S10;Isaías
0,007168;-0,0977;0,1857;0,9535;0,976;standing;Samsung Galaxy S10;Isaías
0,015116;-0,0872;0,1722;0,9706;0,99;standing;Samsung Galaxy S10;Isaías
0,017748;-0,0772;0,1578;0,9877;1,003;standing;Samsung Galaxy S10;Isaías
0,022552;-0,0711;0,1468;0,9999;1,013;standing;Samsung Galaxy S10;Isaías
0,027495;-0,066;0,1417;1,0116;1,024;standing;Samsung Galaxy S10;Isaías
0,032967;-0,0569;0,139;1,0207;1,032;standing;Samsung Galaxy S10;Isaías
0,037724;-0,0535;0,1402;1,0292;1,04;standing;Samsung Galaxy S10;Isaías
0,042813;-0,0508;0,1444;1,04;1,051;standing;Samsung Galaxy S10;Isaías
0,048013;-0,0506;0,1471;1,0444;1,056;standing;Samsung Galaxy S10;Isaías
0,053395;-0,0484;0,1478;1,0509;1,062;standing;Samsung Galaxy S10;Isaías
0,058121;-0,0432;0,1495;1,0588;1,07;standing;Samsung Galaxy S10;Isaías
0,063593;-0,0432;0,152;1,0617;1,073;standing;Samsung Galaxy S10;Isaías
0,068321;-0,0437;0,1525;1,0558;1,068;standing;Samsung Galaxy S10;Isaías
0,073235;-0,044;0,1507;1,0383;1,05;standing;Samsung Galaxy S10;Isaías
0,078116;-0,0435;0,1517;1,0241;1,036;standing;Samsung Galaxy S10;Isaías
0,08823;-0,045;0,152;1,007;1,019;standing;Samsung Galaxy S10;Isaías
0,08864;-0,0484;0,1544;0,9935;1,007;standing;Samsung Galaxy S10;Isaías
0,093638;-0,0552;0,1595;0,9801;0,995;standing;Samsung Galaxy S10;Isaías
0,098556;-0,0603;0,1598;0,9672;0,982;standing;Samsung Galaxy S10;Isaías
0,103727;-0,0599;0,1598;0,9596;0,975;standing;Samsung Galaxy S10;Isaías
0,108729;-0,0586;0,1632;0,9559;0,972;standing;Samsung Galaxy S10;Isaías
0,114258;-0,0567;0,1642;0,9511;0,967;standing;Samsung Galaxy S10;Isaías
0,118996;-0,0581;0,1642;0,9444;0,96;standing;Samsung Galaxy S10;Isaías
0,123959;-0,0633;0,1603;0,9366;0,952;standing;Samsung Galaxy S10;Isaías
0,129259;-0,0647;0,1629;0,9315;0,948;standing;Samsung Galaxy S10;Isaías
0,134971;-0,0674;0,1644;0,9286;0,945;standing;Samsung Galaxy S10;Isaías
0,139114;-0,0682;0,1629;0,9332;0,95;standing;Samsung Galaxy S10;Isaías
0,144236;-0,0664;0,1593;0,9405;0,956;standing;Samsung Galaxy S10;Isaías
0,150753;-0,0625;0,1571;0,9496;0,965;standing;Samsung Galaxy S10;Isaías
0,15431;-0,0603;0,1503;0,9613;0,975;standing;Samsung Galaxy S10;Isaías
0,159258;-0,0557;0,1437;0,9706;0,983;standing;Samsung Galaxy S10;Isaías
0,164865;-0,0515;0,1417;0,9821;0,994;standing;Samsung Galaxy S10;Isaías
0,169813;-0,0452;0,1409;0,9945;1,005;standing;Samsung Galaxy S10;Isaías
0,174822;-0,0376;0,1434;1,0094;1,02;standing;Samsung Galaxy S10;Isaías
0,179998;-0,0264;0,1476;1,0285;1,039;standing;Samsung Galaxy S10;Isaías
0,184812;-0,0215;0,15;1,0417;1,053;standing;Samsung Galaxy S10;Isaías
0,189725;-0,0183;0,1525;1,0488;1,06;standing;Samsung Galaxy S10;Isaías
0,194895;-0,0137;0,1527;1,0529;1,064;standing;Samsung Galaxy S10;Isaías
0,200126;-0,0103;0,1512;1,0483;1,059;standing;Samsung Galaxy S10;Isaías
0,20517;-0,01;0,1507;1,0412;1,052;standing;Samsung Galaxy S10;Isaías
0,209978;-0,0098;0,1503;1,0307;1,042;standing;Samsung Galaxy S10;Isaías
