time;gFx;gFy;gFz;TgF;Actividad;movil;sujeto
0,000789;-0,0371;1,0348;-0,0112;1,036;walking;Samsung Galaxy S10;Isaías
0,003969;-0,0315;1,0302;-0,0159;1,031;walking;Samsung Galaxy S10;Isaías
0,008784;-0,0293;1,0251;-0,0081;1,026;walking;Samsung Galaxy S10;Isaías
0,015694;-0,0345;1,0187;0,0066;1,019;walking;Samsung Galaxy S10;Isaías
0,019359;-0,042;1,0168;0,0159;1,018;walking;Samsung Galaxy S10;Isaías
0,024169;-0,0467;1,0219;0,0166;1,023;walking;Samsung Galaxy S10;Isaías
0,037056;-0,0486;1,0258;0,0186;1,027;walking;Samsung Galaxy S10;Isaías
0,037517;-0,0508;1,0292;0,0217;1,031;walking;Samsung Galaxy S10;Isaías
0,03944;-0,0557;1,0282;0,0283;1,03;walking;Samsung Galaxy S10;Isaías
0,044769;-0,0567;1,0236;0,0415;1,026;walking;Samsung Galaxy S10;Isaías
0,049683;-0,0586;1,0148;0,0616;1,018;walking;Samsung Galaxy S10;Isaías
0,05467;-0,0613;1,0082;0,0818;1,013;walking;Samsung Galaxy S10;Isaías
0,060006;-0,0657;1,0018;0,1063;1,01;walking;Samsung Galaxy S10;Isaías
0,06491;-0,0657;1,0001;0,1209;1,01;walking;Samsung Galaxy S10;Isaías
0,069726;-0,0679;1,0024;0,1429;1,015;walking;Samsung Galaxy S10;Isaías
0,0749;-0,0674;1,005;0,1717;1,022;walking;Samsung Galaxy S10;Isaías
0,080674;-0,0677;1,0124;0,1969;1,034;walking;Samsung Galaxy S10;Isaías
0,085235;-0,0723;1,0221;0,2121;1,046;walking;Samsung Galaxy S10;Isaías
0,090099;-0,0733;1,0282;0,2265;1,055;walking;Samsung Galaxy S10;Isaías
0,095115;-0,0755;1,0348;0,2365;1,064;walking;Samsung Galaxy S10;Isaías
0,100347;-0,0765;1,0387;0,2484;1,071;walking;Samsung Galaxy S10;Isaías
0,105364;-0,0789;1,0405;0,2631;1,076;walking;Samsung Galaxy S10;Isaías
0,110416;-0,0806;1,0426;0,2675;1,079;walking;Samsung Galaxy S10;Isaías
0,115704;-0,0813;1,0402;0,2834;1,081;walking;Samsung Galaxy S10;Isaías
0,120757;-0,0782;1,0356;0,2892;1,078;walking;Samsung Galaxy S10;Isaías
